Date,Open,High,Low,Close,Adj Close,Volume
2017-05-30,9440.000000,9490.000000,9200.000000,9200.000000,8129.802734,10209000
2017-05-31,9280.000000,9405.000000,9215.000000,9235.000000,8160.732422,24250000
2017-06-01,9235.000000,9235.000000,9235.000000,9235.000000,8160.732422,0
2017-06-02,9250.000000,9405.000000,9250.000000,9380.000000,8288.865234,6941000
2017-06-05,9350.000000,9440.000000,9315.000000,9435.000000,8337.468750,3277000
2017-06-06,9430.000000,9450.000000,9360.000000,9365.000000,8275.610352,3346000
2017-06-07,9380.000000,9470.000000,9380.000000,9440.000000,8341.886719,4699500
2017-06-08,9440.000000,9550.000000,9435.000000,9510.000000,8403.744141,4918500
2017-06-09,9460.000000,9620.000000,9420.000000,9510.000000,8403.744141,5631000
2017-06-12,9540.000000,9620.000000,9440.000000,9440.000000,8341.886719,5031000
2017-06-13,9540.000000,9595.000000,9460.000000,9580.000000,8465.600586,3052000
2017-06-14,9580.000000,9700.000000,9570.000000,9700.000000,8571.641602,9012500
2017-06-15,9700.000000,9795.000000,9670.000000,9770.000000,8633.498047,4430000
2017-06-16,9720.000000,9770.000000,9465.000000,9560.000000,8447.927734,17764500
2017-06-19,9530.000000,9580.000000,9440.000000,9520.000000,8412.581055,5516000
2017-06-20,9555.000000,9685.000000,9500.000000,9650.000000,8527.458008,5140500
2017-06-21,9650.000000,9800.000000,9605.000000,9800.000000,8660.008789,8036500
2017-06-22,9840.000000,9900.000000,9760.000000,9760.000000,8624.661133,8018000
2017-06-23,9760.000000,9760.000000,9760.000000,9760.000000,8624.661133,0
2017-06-26,9760.000000,9760.000000,9760.000000,9760.000000,8624.661133,0
2017-06-27,9760.000000,9760.000000,9760.000000,9760.000000,8624.661133,0
2017-06-28,9760.000000,9760.000000,9760.000000,9760.000000,8624.661133,0
2017-06-29,9760.000000,9760.000000,9760.000000,9760.000000,8624.661133,0
2017-06-30,9760.000000,9760.000000,9760.000000,9760.000000,8624.661133,0
2017-07-03,9900.000000,9905.000000,9730.000000,9890.000000,8739.539063,14225000
2017-07-04,9770.000000,9820.000000,9745.000000,9750.000000,8615.826172,5706500
2017-07-05,9805.000000,9860.000000,9620.000000,9700.000000,8571.641602,9309500
2017-07-06,9625.000000,9790.000000,9610.000000,9780.000000,8725.088867,4656500
2017-07-07,9700.000000,9755.000000,9560.000000,9620.000000,8582.345703,4487500
2017-07-10,9620.000000,9630.000000,9305.000000,9345.000000,8337.009766,8638500
2017-07-11,9455.000000,9500.000000,9325.000000,9500.000000,8475.290039,5419500
2017-07-12,9500.000000,9700.000000,9450.000000,9660.000000,8618.032227,6120500
2017-07-13,9700.000000,9720.000000,9630.000000,9700.000000,8653.717773,10013000
2017-07-14,9630.000000,9720.000000,9535.000000,9720.000000,8671.559570,3841000
2017-07-17,9715.000000,9715.000000,9585.000000,9665.000000,8622.492188,5036500
2017-07-18,9600.000000,9600.000000,9485.000000,9530.000000,8502.053711,7084500
2017-07-19,9530.000000,9530.000000,9435.000000,9500.000000,8475.290039,9267000
2017-07-20,9490.000000,9660.000000,9460.000000,9655.000000,8613.570313,6951500
2017-07-21,9655.000000,9655.000000,9525.000000,9545.000000,8515.438477,3462500
2017-07-24,9580.000000,9720.000000,9560.000000,9670.000000,8626.954102,10861500
2017-07-25,9670.000000,9680.000000,9600.000000,9610.000000,8573.424805,9731500
2017-07-26,9660.000000,9680.000000,9550.000000,9550.000000,8519.898438,8408500
2017-07-27,9600.000000,9600.000000,9465.000000,9560.000000,8528.819336,10461000
2017-07-28,9560.000000,9720.000000,9475.000000,9675.000000,8631.415039,7681500
2017-07-31,9620.000000,9910.000000,9540.000000,9790.000000,8734.009766,17823000
2017-08-01,9820.000000,9820.000000,9680.000000,9695.000000,8649.256836,6125000
2017-08-02,9695.000000,9705.000000,9650.000000,9695.000000,8649.256836,6305500
2017-08-03,9650.000000,9660.000000,9535.000000,9540.000000,8510.974609,13967500
2017-08-04,9525.000000,9550.000000,9505.000000,9515.000000,8488.670898,10639000
2017-08-07,9500.000000,9530.000000,9385.000000,9415.000000,8399.459961,11487500
2017-08-08,9445.000000,9505.000000,9440.000000,9485.000000,8461.909180,7408000
2017-08-09,9505.000000,9620.000000,9505.000000,9620.000000,8582.345703,10842000
2017-08-10,9560.000000,9605.000000,9475.000000,9605.000000,8568.963867,4518000
2017-08-11,9580.000000,9580.000000,9460.000000,9500.000000,8475.290039,7609000
2017-08-14,9550.000000,9700.000000,9535.000000,9650.000000,8609.111328,4960500
2017-08-15,9645.000000,9800.000000,9580.000000,9660.000000,8618.032227,6857500
2017-08-16,9760.000000,9880.000000,9640.000000,9870.000000,8805.381836,10184500
2017-08-17,9870.000000,9870.000000,9870.000000,9870.000000,8805.381836,0
2017-08-18,9840.000000,9900.000000,9830.000000,9895.000000,8827.684570,7911000
2017-08-21,9895.000000,9900.000000,9615.000000,9665.000000,8622.492188,4622500
2017-08-22,9680.000000,9860.000000,9680.000000,9855.000000,8791.999023,8817500
2017-08-23,9870.000000,10000.000000,9825.000000,9985.000000,8907.974609,6244000
2017-08-24,9970.000000,9985.000000,9690.000000,9900.000000,8832.144531,8362000
